"CountryName","SurveyId","FP_DISR_W_PRG","CharacteristicCategory","CharacteristicLabel","FP_DISR_W_DES","FP_DISR_W_FRT","FP_DISR_W_SID","FP_DISR_W_WME","FP_DISR_W_MET","FP_DISR_W_OTH","FP_DISR_W_ANY","FP_DISR_W_SWH","FP_DISR_W_NUM"
"Armenia","AM2000DHS",22.4,"Total","Total",3.7,1.4,1.7,4.4,2.1,3.8,39.6,7.2,3826
"Armenia","AM2000DHS",1.4,"Contraceptive method","IUD",0.6,0.5,4.1,0,0,0,6.5,1.8,325
"Armenia","AM2000DHS",13,"Contraceptive method","Condom",5.7,1.8,2.2,2,8,6.1,38.9,8.9,462
"Armenia","AM2000DHS",24.9,"Contraceptive method","Lactational amenorrhea",4.6,0.9,0.7,23.4,4.2,18.2,77,30.8,395
"Armenia","AM2000DHS",0,"Contraceptive method","Other modern methods",0,0,0,12.1,7.1,0,19.1,12.1,175
"Armenia","AM2000DHS",21.4,"Contraceptive method","Periodic abstinence",3.9,1.9,0.1,6.9,2.2,1.5,37.9,7.6,314
"Armenia","AM2000DHS",28.6,"Contraceptive method","Withdrawal",3.8,1.5,0.9,2,0.5,1.9,39.2,3.3,2051
"Armenia","AM2000DHS",29.2,"Contraceptive method","Other traditional methods",1.4,1.5,1.3,1.2,1.1,0,35.6,1.2,103
"Armenia","AM2005DHS",15.9,"Total","Total",3.7,5.1,1.1,2.7,1.6,2.1,32.1,4.6,2505
"Armenia","AM2005DHS",0.6,"Contraceptive method","IUD",0.6,0.6,5.1,0,0,0,6.9,3.2,308
"Armenia","AM2005DHS",6.9,"Contraceptive method","Condom",7.4,3.3,0.4,5,4.8,3.3,31,7.1,431
"Armenia","AM2005DHS",26.6,"Contraceptive method","Other modern methods",5.5,6.9,0,14.4,3.3,1,57.7,1,162
"Armenia","AM2005DHS",28.4,"Contraceptive method","Periodic abstinence",2.5,4.4,0,3.1,1.2,1.3,40.9,4.8,180
"Armenia","AM2005DHS",20.9,"Contraceptive method","Withdrawal",2.8,6.4,0.2,1.2,0.2,1.6,33.3,2.3,1276
"Armenia","AM2005DHS",18.8,"Contraceptive method","Other traditional methods",4.5,9,0.3,7.3,2.9,5.5,48.4,10.9,148
"Armenia","AM2010DHS",9,"Total","Total",3.5,5.3,0.9,2,0.7,1.8,23.1,2.9,1969
"Armenia","AM2010DHS",0,"Contraceptive method","IUD",0.2,0,2.8,0,0,0.9,3.9,0.6,241
"Armenia","AM2010DHS",3,"Contraceptive method","Condom",4.2,4.4,0,1.1,1,1.2,14.8,2.3,504
"Armenia","AM2010DHS",0,"Contraceptive method","Other modern methods",3.6,0,0,0,0,0,3.6,0,149
"Armenia","AM2010DHS",14,"Contraceptive method","Withdrawal",3.9,6.7,0,1.7,0.1,1.2,27.6,2,935
"Armenia","AM2010DHS",17.3,"Contraceptive method","Other traditional methods",1.2,5.9,0,0,0,0,24.3,0,141
"Armenia","AM2016DHS",6.4,"Total","Total",4.6,7.3,0.6,9.5,2.4,1.4,32.2,11.6,2377
"Armenia","AM2016DHS",0.8,"Contraceptive method","IUD",0.4,0,0.3,0,0,0.5,2,0.5,234
"Armenia","AM2016DHS",3,"Contraceptive method","Condom",4.3,6.2,0.4,0.8,1.1,0.8,16.5,2.3,560
"Armenia","AM2016DHS",4.1,"Contraceptive method","Lactational amenorrhea",4.2,4.6,0.8,63.4,16,5.8,99,74.1,279
"Armenia","AM2016DHS",0,"Contraceptive method","Other modern methods",0,17.6,0,0,0,0,17.6,17.6,131
"Armenia","AM2016DHS",9.7,"Contraceptive method","Withdrawal",5.5,10.9,0,2.9,0,1,30,2.6,1026
"Armenia","AM2016DHS",0,"Contraceptive method","Other traditional methods",0,27.8,0,0,0,0,27.8,0,147
"Angola","AO2015DHS",1.7,"Total","Total",7.1,4.6,9.2,2.2,3.9,11.8,40.5,2.7,2484
"Angola","AO2015DHS",3.5,"Contraceptive method","Pill",6,3.2,12.2,2.6,5.6,19,52,2.5,608
"Angola","AO2015DHS",0,"Contraceptive method","Injectables",7.2,3.2,18.2,1.6,3,8.1,41.3,2,638
"Angola","AO2015DHS",1.2,"Contraceptive method","Condom",6.3,7.1,2.7,1.6,4,9.6,32.5,2.4,896
"Angola","AO2015DHS",5.5,"Contraceptive method","Other modern methods",3.7,0,3.9,6.5,0,16.3,35.8,0,160
"Angola","AO2015DHS",0.8,"Contraceptive method","Other traditional methods",32.5,0,4.4,7,0,0.5,45.1,0,182
"Azerbaijan","AZ2006DHS",14.4,"Total","Total",3.9,2.1,1.4,2,0.7,6.3,30.7,4.4,3001
"Azerbaijan","AZ2006DHS",0.9,"Contraceptive method","IUD",0.5,0.1,4,0.4,0,0.9,6.7,0.3,381
"Azerbaijan","AZ2006DHS",9.7,"Contraceptive method","Condom",11.9,2,0,4,8,12.7,48.2,13.1,181
"Azerbaijan","AZ2006DHS",3.7,"Contraceptive method","Lactational amenorrhea",17.1,0.7,0,16.5,0.1,41.1,79.3,35.5,174
"Azerbaijan","AZ2006DHS",15.5,"Contraceptive method","Other modern methods",0.3,12.9,0,5.9,5.8,12.5,52.9,9.3,178
"Azerbaijan","AZ2006DHS",13.8,"Contraceptive method","Periodic abstinence",3.3,2.3,0,1,0.3,2.7,23.5,2.6,218
"Azerbaijan","AZ2006DHS",18.6,"Contraceptive method","Withdrawal",2.9,2.4,0.1,1,0.1,4.2,29.2,1.6,1855
"Bangladesh","BD1994DHS",3.5,"Total","Total",7.7,2.7,20.8,2.3,1.9,8.7,47.7,19.1,6987
"Bangladesh","BD1994DHS",0,"Contraceptive method","Female sterilization",0,0,0,0,0,0,0,0,218
"Bangladesh","BD1994DHS",1.7,"Contraceptive method","Pill",7,3.1,25.6,0.9,1.5,5.1,44.9,15.5,3376
"Bangladesh","BD1994DHS",0.3,"Contraceptive method","IUD",1.8,0.5,29.9,0.2,1.1,3.3,37.1,19.7,386
"Bangladesh","BD1994DHS",1.1,"Contraceptive method","Injectables",4.8,0.9,40,0.7,4.9,5.2,57.6,26.7,814
"Bangladesh","BD1994DHS",5.9,"Contraceptive method","Condom",13.7,3.3,13.6,5.3,3.5,26.6,71.9,36.9,805
"Bangladesh","BD1994DHS",8.6,"Contraceptive method","Periodic abstinence",12.2,3.2,2,6.5,0.8,11.3,44.7,15.7,805
"Bangladesh","BD1994DHS",8.9,"Contraceptive method","Withdrawal",11.3,5.5,5.5,6,1.5,16.5,55.2,22.3,394
"Bangladesh","BD1994DHS",16.5,"Contraceptive method","Other traditional methods",3.2,2.4,9.1,3.8,1.3,10.3,46.6,11.2,165
"Bangladesh","BD1997DHS",3.8,"Total","Total",7,2.6,21.5,2.2,2.4,7.4,46.8,21.1,6554
"Bangladesh","BD1997DHS",2.8,"Contraceptive method","Pill",7,3.1,24.3,0.6,1.5,5,44.4,16.8,3303
"Bangladesh","BD1997DHS",0,"Contraceptive method","IUD",2.5,0,35.5,0.4,0,2.7,41.2,27.4,272
"Bangladesh","BD1997DHS",1.3,"Contraceptive method","Injectables",5.1,1.5,35.6,0,2.5,5,51,24.6,1048
"Bangladesh","BD1997DHS",6.4,"Contraceptive method","Condom",10.3,3.9,11.2,6.1,8.9,17.9,64.7,35.5,765
"Bangladesh","BD1997DHS",10,"Contraceptive method","Periodic abstinence",9.8,2.3,0.1,8.1,0.9,10.3,41.6,16.3,626
"Bangladesh","BD1997DHS",4.8,"Contraceptive method","Withdrawal",9.9,1.7,16.7,7.9,2.3,16.7,60.1,39.3,317
"Bangladesh","BD1997DHS",19.5,"Contraceptive method","Other traditional methods",2.7,0,1.7,1.7,0,8.3,33.8,5.2,67
"Bangladesh","BD2000DHS",4.2,"Total","Total",7.5,2.9,19.2,2.8,3.3,8.4,48.3,22.2,8504
"Bangladesh","BD2000DHS",2.9,"Contraceptive method","Pill",7.6,3.8,22,1.4,2.9,5.6,46.3,18.6,4199
"Bangladesh","BD2000DHS",0,"Contraceptive method","IUD",2,0,29.4,0,0.8,2,34.3,18.9,191
"Bangladesh","BD2000DHS",1.3,"Contraceptive method","Injectables",3.8,0.8,36.6,0.4,3.3,3.9,50.1,26.4,1340
"Bangladesh","BD2000DHS",6.4,"Contraceptive method","Condom",12.4,3,9.7,7.1,5.8,22.3,66.7,38,1100
"Bangladesh","BD2000DHS",8.3,"Contraceptive method","Periodic abstinence",8.6,1.6,2.1,9,2.7,9.7,42.1,19.8,778
"Bangladesh","BD2000DHS",9.6,"Contraceptive method","Withdrawal",9.2,4,5.5,3.9,3.8,15.2,51.1,22.8,616
"Bangladesh","BD2000DHS",19.9,"Contraceptive method","Other traditional methods",4.4,4.1,2.6,1,2.7,4.1,38.7,2.6,110
"Bangladesh","BD2004DHS",4.5,"Total","Total",8,5.7,17.4,3.4,4.2,5.9,49.2,24.5,10474
"Bangladesh","BD2004DHS",3.9,"Contraceptive method","Pill",8.3,7.6,20.7,1.3,2.3,2.2,46.3,19.1,5277
"Bangladesh","BD2004DHS",0.4,"Contraceptive method","Injectables",5.2,3.2,33.6,0.5,3.6,2.2,48.7,28.7,1793
"Bangladesh","BD2004DHS",6.4,"Contraceptive method","Condom",11.3,3.9,6.9,6.4,13,23.3,71.2,45.3,1344
"Bangladesh","BD2004DHS",10.7,"Contraceptive method","Periodic abstinence",5.8,3.7,0.1,10.2,1.8,9.2,41.4,20.6,972
"Bangladesh","BD2004DHS",8.3,"Contraceptive method","Withdrawal",13.4,7.7,0.8,13.4,8.3,7.5,59.4,29.1,700
"Bangladesh","BD2004DHS",12.1,"Contraceptive method","Other traditional methods",4.3,1.8,5.4,6.2,0,0.9,30.7,5.4,75
"Bangladesh","BD2011DHS",4.1,"Total","Total",7,6.3,11.4,2.3,2.6,2,35.7,13.8,13614
"Bangladesh","BD2011DHS",0.7,"Contraceptive method","Female sterilization",0,0,0,0,0,0,0.7,0,331
"Bangladesh","BD2011DHS",4.3,"Contraceptive method","Pill",8.9,9.5,11.6,1.3,1.5,1.9,39,11.1,7109
"Bangladesh","BD2011DHS",1.6,"Contraceptive method","IUD",0.8,0,16.5,1,0.7,1.8,22.4,15,134
"Bangladesh","BD2011DHS",1.2,"Contraceptive method","Injectables",3.4,3.8,22.9,0.5,2.6,1.6,36.1,20.3,2656
"Bangladesh","BD2011DHS",1.1,"Contraceptive method","Implants",1,0,5.7,0,0,0,7.8,4,203
"Bangladesh","BD2011DHS",7.8,"Contraceptive method","Condom",9.1,4.1,4.9,6.4,10.1,4.7,47,24.5,1549
"Bangladesh","BD2011DHS",5.3,"Contraceptive method","Periodic abstinence",5.6,1.4,0.8,7.8,0.7,1.4,23.1,10,1106
"Bangladesh","BD2011DHS",8,"Contraceptive method","Withdrawal",3.1,0.9,1.5,5.7,4.3,1.7,25.3,11.5,346
"Bangladesh","BD2011DHS",5.6,"Contraceptive method","Other traditional methods",4.3,0,3.6,2.1,0,3.4,19.1,2.1,56
"Bangladesh","BD2014DHS",3.5,"Total","Total",6.6,4.8,8.8,1.5,2.1,2.4,29.7,11.5,12120
"Bangladesh","BD2014DHS",0,"Contraceptive method","Female sterilization",0,0,0,0,0,0,0,0,350
"Bangladesh","BD2014DHS",4.8,"Contraceptive method","Pill",8,6.6,10.2,1.1,1.4,1.9,33.9,10.9,6136
"Bangladesh","BD2014DHS",1,"Contraceptive method","Injectables",3.2,3.1,13.9,0.8,1.8,1.3,25.2,12.7,2369
"Bangladesh","BD2014DHS",0,"Contraceptive method","Implants",2,0.8,3.5,0,0,0,6.2,2.6,305
"Bangladesh","BD2014DHS",3.6,"Contraceptive method","Condom",11.4,4.8,5.2,2.7,5.9,6.8,40.4,18.2,1627
"Bangladesh","BD2014DHS",3.4,"Contraceptive method","Periodic abstinence",3,1.5,0.2,5.1,2.2,1.7,17.2,8.4,774
"Bangladesh","BD2014DHS",4.2,"Contraceptive method","Withdrawal",6,1.3,0,4.8,6.5,3.8,26.6,14.4,308
"Bangladesh","BD2017DHS",3.9,"Total","Total",8.1,8.2,10.5,3,2.6,1,37.1,15,16566
"Bangladesh","BD2017DHS",0,"Contraceptive method","Female sterilization",0,0,0,0,0,0,0,0,318
"Bangladesh","BD2017DHS",4.5,"Contraceptive method","Pill",10.5,11.8,10.8,2.3,1,0.7,41.6,13,8256
"Bangladesh","BD2017DHS",1.1,"Contraceptive method","Injectables",4,5.4,20.1,1.2,1.6,0.7,34.1,19.1,2988
"Bangladesh","BD2017DHS",0,"Contraceptive method","Implants",0.1,0.3,10.8,0,0,0,11.2,8.3,540
"Bangladesh","BD2017DHS",5.8,"Contraceptive method","Condom",10.7,5.6,6,4.5,10.3,2,44.7,21.1,2369
"Bangladesh","BD2017DHS",0,"Contraceptive method","Other modern methods",0,0.4,0,0,1,0,1.3,1,199
"Bangladesh","BD2017DHS",4.7,"Contraceptive method","Periodic abstinence",4.8,3.5,1,9,2.9,1.8,27.7,14.3,1274
"Bangladesh","BD2017DHS",6.4,"Contraceptive method","Withdrawal",5.7,6.1,1.7,5.1,2.1,3.7,30.9,12.3,597
"Bangladesh","BD2017DHS",0,"Contraceptive method","Other traditional methods",0,0,0,2.5,0,0,2.5,2.5,25
"Burkina Faso","BF2010DHS",1.5,"Total","Total",6.8,1.7,5.1,1.1,1.4,2.4,20,1.8,3548
"Burkina Faso","BF2010DHS",1.9,"Contraceptive method","Pill",7.9,1.2,7.1,0.8,1.5,2.7,23.1,2.4,756
"Burkina Faso","BF2010DHS",0.3,"Contraceptive method","Injectables",10.9,1.4,9.1,1,2.7,2.4,27.8,1.8,1357
"Burkina Faso","BF2010DHS",0,"Contraceptive method","Implants",1.6,0,1,0.3,0,0.5,3.4,0.4,517
"Burkina Faso","BF2010DHS",1.6,"Contraceptive method","Condom",2.4,5.3,0.3,1.7,0.1,4.5,16,2.3,603
"Burkina Faso","BF2010DHS",8,"Contraceptive method","Other modern methods",23.1,0,0,0,0,0,31,0,80
"Burkina Faso","BF2010DHS",10.7,"Contraceptive method","Periodic abstinence",3.6,0.3,0,1.4,0.7,1.4,18.1,1.4,216
"Benin","BJ2012DHS",2.8,"Total","Total",7.7,0.8,5.9,5.1,5.3,12.3,39.9,1.5,3479
"Benin","BJ2012DHS",3.6,"Contraceptive method","Pill",7.8,0,16.8,8.7,8.7,9.4,54.9,0.8,449
"Benin","BJ2012DHS",2,"Contraceptive method","Injectables",10.3,0.3,15.5,3.9,7.5,8.7,48.2,2,465
"Benin","BJ2012DHS",3.4,"Contraceptive method","Implants",8.1,1.1,7.5,1.8,3.9,8.8,34.6,0.4,175
"Benin","BJ2012DHS",1.8,"Contraceptive method","Condom",7,1.7,3.1,8.9,7.1,11.6,41.2,2.5,701
"Benin","BJ2012DHS",1,"Contraceptive method","Other modern methods",6.5,0.6,1.7,1.4,0.8,41.5,53.6,0,385
"Benin","BJ2012DHS",5.2,"Contraceptive method","Periodic abstinence",13,1.1,0.2,3,3.2,5.8,31.4,1,529
"Benin","BJ2012DHS",8.8,"Contraceptive method","Withdrawal",10.7,1.4,0.8,4.7,6.8,15.8,48.8,3.7,212
"Benin","BJ2012DHS",1.6,"Contraceptive method","Other traditional methods",5.3,0.7,3.7,2.2,3.5,18.2,35.3,1.7,151
"Benin","BJ2017DHS",1.4,"Total","Total",12.2,3.2,5.8,2.7,2.1,5.8,33.1,2.5,4167
"Benin","BJ2017DHS",2.3,"Contraceptive method","Pill",15.7,3.7,10.6,3.1,4.7,8.2,48.3,3.9,561
"Benin","BJ2017DHS",0.9,"Contraceptive method","IUD",2.1,0.3,3,0.5,0.2,2.7,9.9,0.8,248
"Benin","BJ2017DHS",0.1,"Contraceptive method","Injectables",17.6,3.4,15.7,2.8,4.8,12.1,56.5,2.6,671
"Benin","BJ2017DHS",0.1,"Contraceptive method","Implants",6.1,1.6,5.8,0.9,0.8,3.5,18.7,0.9,1084
"Benin","BJ2017DHS",2,"Contraceptive method","Condom",15.2,5.3,0,2.1,0.8,4.7,30.2,2.4,466
"Benin","BJ2017DHS",0,"Contraceptive method","Other modern methods",22.1,24.4,0,0,0,1.2,47.7,0,182
"Benin","BJ2017DHS",3.6,"Contraceptive method","Periodic abstinence",14.1,2.8,0,3.3,1.2,2.1,27.1,1.2,542
"Benin","BJ2017DHS",2.7,"Contraceptive method","Withdrawal",12.8,5.3,0,8.5,0.6,6.3,36.2,7.4,355
"Benin","BJ2017DHS",4.2,"Contraceptive method","Other traditional methods",15.1,2.5,0,6.5,3.1,11.4,42.7,0,57
"Bolivia","BO1994DHS",12.1,"Total","Total",4.4,3.2,7.9,4.5,2.2,6.8,41.1,14.7,4499
"Bolivia","BO1994DHS",5.1,"Contraceptive method","Pill",4.4,1.5,36,2.6,3.2,6,58.9,29.1,549
"Bolivia","BO1994DHS",1.6,"Contraceptive method","IUD",1,0,7.6,0,0.4,1.4,11.9,4.5,495
"Bolivia","BO1994DHS",4.6,"Contraceptive method","Injectables",9.4,2.1,38.5,3.4,10.2,9.9,78.2,39.1,179
"Bolivia","BO1994DHS",5.4,"Contraceptive method","Condom",6.9,9,6,10.1,13.5,19,69.8,40.8,211
"Bolivia","BO1994DHS",3.6,"Contraceptive method","Other modern methods",9,3.5,10.8,4.8,14.6,20.7,67.2,39.5,165
"Bolivia","BO1994DHS",19.6,"Contraceptive method","Periodic abstinence",5.6,4.1,1.2,5.4,0.4,3.5,39.8,8.7,2126
"Bolivia","BO1994DHS",15.1,"Contraceptive method","Withdrawal",3.3,6.5,1.8,8.7,5,16,56.4,25.4,234
"Bolivia","BO1994DHS",5.7,"Contraceptive method","Other traditional methods",0.9,1.3,0.3,3.6,0.8,16.7,29.2,11.1,476
"Brazil","BR1996DHS",5.9,"Total","Total",3.7,3.5,7.7,6,2.7,13.9,43.4,20,8272
"Brazil","BR1996DHS",0,"Contraceptive method","Female sterilization",0,0,0,0,0,0,0,0,1107
"Brazil","BR1996DHS",4.8,"Contraceptive method","Pill",5,3.6,11.8,1.9,1.8,15.9,44.8,15.8,3902
"Brazil","BR1996DHS",4.7,"Contraceptive method","Injectables",4.5,1.6,27.4,1.1,4.5,19.9,63.7,33,368
"Brazil","BR1996DHS",5.1,"Contraceptive method","Condom",3.7,8.8,3.6,13.6,8.2,17,60,34.4,1259
"Brazil","BR1996DHS",20.4,"Contraceptive method","Other modern methods",0,0,12.8,9.3,28.5,6.7,77.7,54.5,259
"Brazil","BR1996DHS",17,"Contraceptive method","Periodic abstinence",2.9,2.2,1.5,16.8,1.4,15.3,57.1,31,604
"Brazil","BR1996DHS",15.7,"Contraceptive method","Withdrawal",4.3,3.2,0.6,20.3,3.1,15,62.2,34.7,698
"Brazil","BR1996DHS",5.8,"Contraceptive method","Other traditional methods",1.5,0.6,1.3,0.8,0.8,61.2,71.8,59.4,75
"Burundi","BU2010DHS",5.5,"Total","Total",9,2,10.6,2.4,5.4,6.6,41.5,8.1,2146
"Burundi","BU2010DHS",7.6,"Contraceptive method","Pill",9.3,2.4,13.6,4.4,11.2,10.5,58.9,18.9,328
"Burundi","BU2010DHS",3.7,"Contraceptive method","IUD",4.5,0,2.6,0,2.7,1,14.5,2.9,148
"Burundi","BU2010DHS",1.7,"Contraceptive method","Injectables",9.2,2.2,15.1,1.3,4.8,5.6,39.8,6.6,1134
"Burundi","BU2010DHS",2.5,"Contraceptive method","Condom",10.6,4.4,0.7,0.6,6,12.7,37.4,1.9,100
"Burundi","BU2010DHS",11.8,"Contraceptive method","Other modern methods",0,0,25.7,0,0,0,37.5,25.7,75
"Burundi","BU2010DHS",16.6,"Contraceptive method","Periodic abstinence",12.4,1.3,0,3.5,0,3.8,37.5,2.9,159
"Burundi","BU2010DHS",18.6,"Contraceptive method","Withdrawal",8.1,0.6,0,3.9,0.8,9.4,41.4,7.5,200
"Burundi","BU2016DHS",2.4,"Total","Total",9.2,2.8,15.2,2.7,2.5,5.7,40.4,4.6,6284
"Burundi","BU2016DHS",3.2,"Contraceptive method","Pill",10.2,4.4,23.3,4.2,3.5,8.2,57.1,10.5,445
"Burundi","BU2016DHS",1.5,"Contraceptive method","IUD",11.1,2.7,16.4,3.3,2.3,2.3,39.6,3.8,248
"Burundi","BU2016DHS",0.7,"Contraceptive method","Injectables",10.8,3.1,21.7,2.7,1.9,5.7,46.7,4.9,2946
"Burundi","BU2016DHS",0,"Contraceptive method","Implants",3.7,0.7,11.9,1.1,2.1,1.6,21.1,3.6,1222
"Burundi","BU2016DHS",1.9,"Contraceptive method","Condom",11,9.7,3.1,5.5,6.7,13.4,51.4,5.7,305
"Burundi","BU2016DHS",0,"Contraceptive method","Other modern methods",0,0,0,0,0,0,0,0,218
"Burundi","BU2016DHS",10.9,"Contraceptive method","Periodic abstinence",10.2,1.1,0,0.8,3.7,4,30.7,0.5,376
"Burundi","BU2016DHS",8.4,"Contraceptive method","Withdrawal",11.3,2.2,0,5.1,3.3,11.8,42.1,3.8,500
"Colombia","CO1990DHS",8.3,"Total","Total",6,2.8,10.4,3.6,2.5,5.7,39.3,15.5,5112
"Colombia","CO1990DHS",0,"Contraceptive method","Female sterilization",0,0,0,0,0,0,0,0,507
"Colombia","CO1990DHS",5.6,"Contraceptive method","Pill",8.5,3.6,17,0.9,2.4,7,44.9,15.3,1707
"Colombia","CO1990DHS",4.5,"Contraceptive method","IUD",2.3,0.2,10.3,0.5,0.4,1.8,20,9.6,839
"Colombia","CO1990DHS",9.4,"Contraceptive method","Injectables",5.4,3.1,31.6,1.4,4.6,8.2,63.7,33.9,403
"Colombia","CO1990DHS",5,"Contraceptive method","Condom",5.6,6.9,0.7,12,7.3,20,57.4,36.2,284
"Colombia","CO1990DHS",17.1,"Contraceptive method","Other modern methods",12,4.5,7.9,10.6,7.6,6.7,66.5,23.9,325
"Colombia","CO1990DHS",18.3,"Contraceptive method","Periodic abstinence",7.9,3.8,0.4,9.8,1.7,3.6,45.5,13.4,624
"Colombia","CO1990DHS",17.2,"Contraceptive method","Withdrawal",5.4,3.3,0,6.9,2.2,6.1,41.2,14.1,388
"Colombia","CO1990DHS",13.8,"Contraceptive method","Other traditional methods",0,0,0,6.8,6,5.7,32.3,6.8,34
"Colombia","CO1995DHS",9,"Total","Total",5.5,5.1,10.7,9,5.3,5.5,50.3,24.1,9142
"Colombia","CO1995DHS",0.1,"Contraceptive method","Female sterilization",0,0,0,0,0,0,0.1,0,704
"Colombia","CO1995DHS",6.4,"Contraceptive method","Pill",7.9,5.1,23.5,1.3,4.4,3.9,52.4,21.4,2466
"Colombia","CO1995DHS",3.2,"Contraceptive method","IUD",1.3,0.5,11.6,0.7,0.7,1.1,19.1,10,928
"Colombia","CO1995DHS",5.5,"Contraceptive method","Injectables",4.8,6.8,34.3,2.5,7.7,5.7,67.4,37.7,680
"Colombia","CO1995DHS",5,"Contraceptive method","Condom",6.6,11.6,0.4,14.3,16,10.9,64.8,35.6,1003
"Colombia","CO1995DHS",16.7,"Contraceptive method","Other modern methods",7.2,3.6,5.1,17,17.3,7.9,74.9,42.7,528
"Colombia","CO1995DHS",18.1,"Contraceptive method","Periodic abstinence",6.5,5.8,0.5,17.5,2.3,3.2,53.9,22,1208
"Colombia","CO1995DHS",15,"Contraceptive method","Withdrawal",7.1,7.5,0.9,18.5,4.4,8.8,62.2,28.9,1088
"Colombia","CO1995DHS",16.7,"Contraceptive method","Other traditional methods",1.8,0.8,1.5,25.6,1.9,14.9,63.1,35.8,536
"Colombia","CO2000DHS",8.9,"Total","Total",4.7,8.3,8.5,10.7,5.5,5.4,52.1,24.8,10523
"Colombia","CO2000DHS",0,"Contraceptive method","Female sterilization",0,0,0,0,0,0,0,0,651
"Colombia","CO2000DHS",6.2,"Contraceptive method","Pill",7,7.2,17,2,6.5,3.7,49.7,19.9,2324
"Colombia","CO2000DHS",3.7,"Contraceptive method","IUD",1.2,0.2,9.2,0.3,0.8,1.3,16.8,9.2,901
"Colombia","CO2000DHS",5.1,"Contraceptive method","Injectables",4.9,8.5,28.4,2.4,9,3.8,62.1,32.7,1152
"Colombia","CO2000DHS",3.5,"Contraceptive method","Condom",4.1,16.7,2.1,15,11.2,9,61.5,32.9,1769
"Colombia","CO2000DHS",8.2,"Contraceptive method","Lactational amenorrhea",0.4,1.3,1.1,25.2,2.1,35.9,74.2,53.8,295
"Colombia","CO2000DHS",12.3,"Contraceptive method","Other modern methods",4.5,10.3,11,18.1,14.4,6.4,77.1,45.6,326
"Colombia","CO2000DHS",19.5,"Contraceptive method","Periodic abstinence",6.1,8.2,0.5,19.1,2.5,2.6,58.6,22.3,1295
"Colombia","CO2000DHS",17.3,"Contraceptive method","Withdrawal",6.2,11.3,0.2,20.9,2.9,4.7,63.5,27,1453
"Colombia","CO2000DHS",21.5,"Contraceptive method","Other traditional methods",2.6,3.5,2,32.1,0,11.1,72.9,41.1,358
"Colombia","CO2005DHS",7.2,"Total","Total",3.5,6.6,8.7,7.7,5.6,2.7,42,18.3,32487
"Colombia","CO2005DHS",0,"Contraceptive method","Female sterilization",0,0,0,0,0,0,0,0,3114
"Colombia","CO2005DHS",0.9,"Contraceptive method","Male sterilization",0,3.1,0,0.2,0,1.5,5.8,0.8,270
"Colombia","CO2005DHS",6.6,"Contraceptive method","Pill",5.3,6.3,17.3,2.9,7.6,1.3,47.2,17.4,6979
"Colombia","CO2005DHS",2.5,"Contraceptive method","IUD",1,0.2,10.7,0.7,0.9,0.7,16.6,9,3149
"Colombia","CO2005DHS",5,"Contraceptive method","Injectables",4.2,6.3,22.6,3.3,6.7,2.7,50.7,24.4,5036
"Colombia","CO2005DHS",4.8,"Contraceptive method","Condom",4.2,14.8,1.6,12.7,9.9,4.9,52.9,23.9,6299
"Colombia","CO2005DHS",14.1,"Contraceptive method","Lactational amenorrhea",0.8,1.5,0.6,31,3.6,18.3,70,47.1,972
