"country","surveyid","xprg","group","grouplabel","xdes","xfrt","xsid","xwme","xmet","xoth","xany","xswh","denom","order","zzmodern","zztraditional","year","type","maxyear","nummethods","nummodern","numtraditional","Discontinuation","DiscontinuationNotInNeed","DiscontinuationFailure","DiscontinuationInNeed","MaleSterilization","FemaleSterilization","IUD","Implants","Injectables","Pill","Condom","FemaleCondom","LAM","EC","OtherModern","Rhythm","Withdrawal","OtherTraditional","continue","ifMaleSterilization","ifFemaleSterilization","ifIUD","ifImplants","ifInjectables","ifPill","ifCondom","ifFemaleCondom","ifLAM","ifEC","ifOtherModern","ifRhythm","ifWithdrawal","ifOtherTraditional","test","confirm"
"Armenia","AM2016DHS",4.1,"Contraceptive method","Lactational amenorrhea",4.2,4.6,0.8,63.4,16,5.8,99,74.1,279,9,1,0,2016,"DHS",2016,6,4,2,69.5,24.6,11.4,33.5,0,0,41.3,0,0,0,41.3,2.8,0,0,41.3,0,41.3,41.3,2.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,279,0
"Armenia","AM2016DHS",0,"Contraceptive method","Other modern methods",0,17.6,0,0,0,0,17.6,17.6,131,11,1,0,2016,"DHS",2016,6,4,2,0,23.1,0,-23.1,0,0,4.6,0,0,0,4.6,4.6,0,0,107.9,0,4.6,4.6,107.9,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,131,0
"Armenia","AM2016DHS",9.7,"Contraceptive method","Withdrawal",5.5,10.9,0,2.9,0,1,30,2.6,1026,13,0,1,2016,"DHS",2016,6,4,2,281.1,168.3,99.5,13.3,0,0,5.3,0,0,0,5.3,5.3,0,0,5.3,0,718.2,5.3,718.2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1026,0
"Armenia","AM2016DHS",0,"Contraceptive method","Other traditional methods",0,27.8,0,0,0,0,27.8,0,147,14,0,1,2016,"DHS",2016,6,4,2,40.9,40.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.1,106.1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,147,0
"Angola","AO2015DHS",3.5,"Contraceptive method","Pill",6,3.2,12.2,2.6,5.6,19,52,2.5,608,6,1,0,2015,"DHS",2015,5,4,1,301,55.9,21.3,223.7,0,0,0,0,3.8,291.8,3.8,0,0,0,3.8,0,0,3.8,291.8,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,608,0
"Angola","AO2015DHS",0,"Contraceptive method","Injectables",7.2,3.2,18.2,1.6,3,8.1,41.3,2,638,5,1,0,2015,"DHS",2015,5,4,1,250.7,66.4,0,184.4,0,0,0,0,374.5,3.2,3.2,0,0,0,3.2,0,0,3.2,374.5,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,638,0
"Angola","AO2015DHS",1.2,"Contraceptive method","Condom",6.3,7.1,2.7,1.6,4,9.6,32.5,2.4,896,7,1,0,2015,"DHS",2015,5,4,1,269.7,120.1,10.8,138.9,0,0,0,0,5.4,5.4,604.8,0,0,0,5.4,0,0,5.4,604.8,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,896,0
"Angola","AO2015DHS",5.5,"Contraceptive method","Other modern methods",3.7,0,3.9,6.5,0,16.3,35.8,0,160,11,1,0,2015,"DHS",2015,5,4,1,57.3,5.9,8.8,42.6,0,0,0,0,0,0,0,0,0,0,102.7,0,0,0,102.7,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,160,0
"Angola","AO2015DHS",0.8,"Contraceptive method","Other traditional methods",32.5,0,4.4,7,0,0.5,45.1,0,182,14,0,1,2015,"DHS",2015,5,4,1,82.1,59.1,1.5,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,99.9,99.9,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,182,0
"Azerbaijan","AZ2006DHS",0.9,"Contraceptive method","IUD",0.5,0.1,4,0.4,0,0.9,6.7,0.3,381,3,1,0,2006,"DHS",2006,6,4,2,24.4,2.3,3.4,18.7,0,0,355.5,0,0,0,0.2,0.2,0,0,0.2,0.2,0.2,0,355.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,381,0
"Azerbaijan","AZ2006DHS",9.7,"Contraceptive method","Condom",11.9,2,0,4,8,12.7,48.2,13.1,181,7,1,0,2006,"DHS",2006,6,4,2,63.5,25.2,17.6,20.8,0,0,4.7,0,0,0,93.8,4.7,0,0,4.7,4.7,4.7,0,93.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,181,0
"Azerbaijan","AZ2006DHS",3.7,"Contraceptive method","Lactational amenorrhea",17.1,0.7,0,16.5,0.1,41.1,79.3,35.5,174,9,1,0,2006,"DHS",2006,6,4,2,76.2,31,6.4,38.8,0,0,12.4,0,0,0,12.4,36,0,0,12.4,12.4,12.4,0,36,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,174,0
"Azerbaijan","AZ2006DHS",15.5,"Contraceptive method","Other modern methods",0.3,12.9,0,5.9,5.8,12.5,52.9,9.3,178,11,1,0,2006,"DHS",2006,6,4,2,77.6,23.5,27.6,26.5,0,0,3.3,0,0,0,3.3,3.3,0,0,83.8,3.3,3.3,0,83.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,178,0
"Azerbaijan","AZ2006DHS",13.8,"Contraceptive method","Periodic abstinence",3.3,2.3,0,1,0.3,2.7,23.5,2.6,218,12,0,1,2006,"DHS",2006,6,4,2,45.6,12.2,30.1,3.3,0,0,1.1,0,0,0,1.1,1.1,0,0,1.1,166.8,1.1,0,166.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,218,0
"Azerbaijan","AZ2006DHS",18.6,"Contraceptive method","Withdrawal",2.9,2.4,0.1,1,0.1,4.2,29.2,1.6,1855,13,0,1,2006,"DHS",2006,6,4,2,512,98.3,345,68.6,0,0,5.9,0,0,0,5.9,5.9,0,0,5.9,5.9,1313.3,0,1313.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1855,0
"Bangladesh","BD2014DHS",0,"Contraceptive method","Female sterilization",0,0,0,0,0,0,0,0,350,2,1,0,2014,"DHS",2014,7,5,2,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,350,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,350,0
"Bangladesh","BD2014DHS",4.8,"Contraceptive method","Pill",8,6.6,10.2,1.1,1.4,1.9,33.9,10.9,6136,6,1,0,2014,"DHS",2014,7,5,2,1411.3,895.9,294.5,220.9,0,111.5,0,111.5,111.5,4055.9,111.5,0,0,0,0,111.5,111.5,0,4055.9,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,6136,0
"Bangladesh","BD2014DHS",1,"Contraceptive method","Injectables",3.2,3.1,13.9,0.8,1.8,1.3,25.2,12.7,2369,5,1,0,2014,"DHS",2014,7,5,2,296.1,149.2,23.7,123.2,0,50.1,0,50.1,1772,50.1,50.1,0,0,0,0,50.1,50.1,0,1772,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2369,0
"Bangladesh","BD2014DHS",0,"Contraceptive method","Implants",2,0.8,3.5,0,0,0,6.2,2.6,305,4,1,0,2014,"DHS",2014,7,5,2,11,8.5,0,2.4,0,1.3,0,286.1,1.3,1.3,1.3,0,0,0,0,1.3,1.3,0,286.1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,305,0
"Bangladesh","BD2014DHS",3.6,"Contraceptive method","Condom",11.4,4.8,5.2,2.7,5.9,6.8,40.4,18.2,1627,7,1,0,2014,"DHS",2014,7,5,2,361.2,263.6,58.6,39,0,49.4,0,49.4,49.4,49.4,969.7,0,0,0,0,49.4,49.4,0,969.7,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1627,0
"Bangladesh","BD2014DHS",3.4,"Contraceptive method","Periodic abstinence",3,1.5,0.2,5.1,2.2,1.7,17.2,8.4,774,12,0,1,2014,"DHS",2014,7,5,2,68.1,34.8,26.3,7,0,10.8,0,10.8,10.8,10.8,10.8,0,0,0,0,640.9,10.8,0,640.9,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,774,0
"Bangladesh","BD2014DHS",4.2,"Contraceptive method","Withdrawal",6,1.3,0,4.8,6.5,3.8,26.6,14.4,308,13,0,1,2014,"DHS",2014,7,5,2,37.6,22.5,12.9,2.2,0,7.4,0,7.4,7.4,7.4,7.4,0,0,0,0,7.4,226.1,0,226.1,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,308,0
"Burkina Faso","BF2010DHS",1.9,"Contraceptive method","Pill",7.9,1.2,7.1,0.8,1.5,2.7,23.1,2.4,756,6,1,0,2010,"DHS",2010,6,5,1,156.5,68.8,14.4,73.3,0,0,0,3.6,3.6,581.4,3.6,0,0,0,3.6,3.6,0,0,581.4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,756,0
"Burkina Faso","BF2010DHS",0.3,"Contraceptive method","Injectables",10.9,1.4,9.1,1,2.7,2.4,27.8,1.8,1357,5,1,0,2010,"DHS",2010,6,5,1,352.8,166.9,4.1,181.8,0,0,0,4.9,979.8,4.9,4.9,0,0,0,4.9,4.9,0,0,979.8,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,1357,0
"Burkina Faso","BF2010DHS",0,"Contraceptive method","Implants",1.6,0,1,0.3,0,0.5,3.4,0.4,517,4,1,0,2010,"DHS",2010,6,5,1,15.5,8.3,0,7.2,0,0,0,499.4,0.4,0.4,0.4,0,0,0,0.4,0.4,0,0,499.4,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,517,0
"Burkina Faso","BF2010DHS",1.6,"Contraceptive method","Condom",2.4,5.3,0.3,1.7,0.1,4.5,16,2.3,603,7,1,0,2010,"DHS",2010,6,5,1,82.6,46.4,9.6,26.5,0,0,0,2.8,2.8,2.8,506.5,0,0,0,2.8,2.8,0,0,506.5,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,603,0
"Burkina Faso","BF2010DHS",8,"Contraceptive method","Other modern methods",23.1,0,0,0,0,0,31,0,80,11,1,0,2010,"DHS",2010,6,5,1,24.8,18.5,6.4,-0.1,0,0,0,0,0,0,0,0,0,0,55.2,0,0,0,55.2,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,80,0
"Burkina Faso","BF2010DHS",10.7,"Contraceptive method","Periodic abstinence",3.6,0.3,0,1.4,0.7,1.4,18.1,1.4,216,12,0,1,2010,"DHS",2010,6,5,1,36.1,8.4,23.1,4.5,0,0,0,0.6,0.6,0.6,0.6,0,0,0,0.6,176.9,0,0,176.9,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,216,0
"Benin","BJ2017DHS",2.3,"Contraceptive method","Pill",15.7,3.7,10.6,3.1,4.7,8.2,48.3,3.9,561,6,1,0,2017,"DHS",2017,9,6,3,249.1,108.8,12.9,127.3,0,0,2.7,2.7,2.7,290,2.7,0,0,0,2.7,2.7,2.7,2.7,290,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,561,0
"Benin","BJ2017DHS",0.9,"Contraceptive method","IUD",2.1,0.3,3,0.5,0.2,2.7,9.9,0.8,248,3,1,0,2017,"DHS",2017,9,6,3,22.6,6,2.2,14.4,0,0,223.4,0.2,0.2,0.2,0.2,0,0,0,0.2,0.2,0.2,0.2,223.4,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,248,0
"Benin","BJ2017DHS",0.1,"Contraceptive method","Injectables",17.6,3.4,15.7,2.8,4.8,12.1,56.5,2.6,671,5,1,0,2017,"DHS",2017,9,6,3,361.7,140.9,0.7,220.1,0,0,2.2,2.2,291.9,2.2,2.2,0,0,0,2.2,2.2,2.2,2.2,291.9,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,671,0
"Benin","BJ2017DHS",0.1,"Contraceptive method","Implants",6.1,1.6,5.8,0.9,0.8,3.5,18.7,0.9,1084,4,1,0,2017,"DHS",2017,9,6,3,193,83.5,1.1,108.4,0,0,1.2,881.3,1.2,1.2,1.2,0,0,0,1.2,1.2,1.2,1.2,881.3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1084,0
"Benin","BJ2017DHS",2,"Contraceptive method","Condom",15.2,5.3,0,2.1,0.8,4.7,30.2,2.4,466,7,1,0,2017,"DHS",2017,9,6,3,129.5,95.5,9.3,24.7,0,0,1.4,1.4,1.4,1.4,325.3,0,0,0,1.4,1.4,1.4,1.4,325.3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,466,0
"Benin","BJ2017DHS",0,"Contraceptive method","Other modern methods",22.1,24.4,0,0,0,1.2,47.7,0,182,11,1,0,2017,"DHS",2017,9,6,3,86.8,84.6,0,2.2,0,0,0,0,0,0,0,0,0,0,95.2,0,0,0,95.2,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,182,0
"Benin","BJ2017DHS",3.6,"Contraceptive method","Periodic abstinence",14.1,2.8,0,3.3,1.2,2.1,27.1,1.2,542,12,0,1,2017,"DHS",2017,9,6,3,140.4,91.6,19.5,29.3,0,0,0.8,0.8,0.8,0.8,0.8,0,0,0,0.8,395.1,0.8,0.8,395.1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,542,0
"Benin","BJ2017DHS",2.7,"Contraceptive method","Withdrawal",12.8,5.3,0,8.5,0.6,6.3,36.2,7.4,355,13,0,1,2017,"DHS",2017,9,6,3,102.2,64.3,9.6,28.4,0,0,3.3,3.3,3.3,3.3,3.3,0,0,0,3.3,3.3,226.5,3.3,226.5,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,355,0
"Benin","BJ2017DHS",4.2,"Contraceptive method","Other traditional methods",15.1,2.5,0,6.5,3.1,11.4,42.7,0,57,14,0,1,2017,"DHS",2017,9,6,3,24.3,10,2.4,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,32.7,32.7,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,57,0
"Bolivia","BO1994DHS",5.1,"Contraceptive method","Pill",4.4,1.5,36,2.6,3.2,6,58.9,29.1,549,6,1,0,1994,"DHS",1994,8,5,3,163.6,32.4,28,103.2,0,0,22.8,0,22.8,225.6,22.8,0,0,0,22.8,22.8,22.8,22.8,225.6,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,549,0
"Bolivia","BO1994DHS",1.6,"Contraceptive method","IUD",1,0,7.6,0,0.4,1.4,11.9,4.5,495,3,1,0,1994,"DHS",1994,8,5,3,36.6,5,7.9,23.8,0,0,436.1,0,3.2,3.2,3.2,0,0,0,3.2,3.2,3.2,3.2,436.1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,495,0
"Bolivia","BO1994DHS",4.6,"Contraceptive method","Injectables",9.4,2.1,38.5,3.4,10.2,9.9,78.2,39.1,179,5,1,0,1994,"DHS",1994,8,5,3,70,20.6,8.2,41.2,0,0,10,0,39,10,10,0,0,0,10,10,10,10,39,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,179,0
"Bolivia","BO1994DHS",5.4,"Contraceptive method","Condom",6.9,9,6,10.1,13.5,19,69.8,40.8,211,7,1,0,1994,"DHS",1994,8,5,3,61.2,33.5,11.4,16.2,0,0,12.3,0,12.3,12.3,63.7,0,0,0,12.3,12.3,12.3,12.3,63.7,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,211,0
"Bolivia","BO1994DHS",3.6,"Contraceptive method","Other modern methods",9,3.5,10.8,4.8,14.6,20.7,67.2,39.5,165,11,1,0,1994,"DHS",1994,8,5,3,45.7,20.6,5.9,19.1,0,0,9.3,0,9.3,9.3,9.3,0,0,0,54.1,9.3,9.3,9.3,54.1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,165,0
"Bolivia","BO1994DHS",19.6,"Contraceptive method","Periodic abstinence",5.6,4.1,1.2,5.4,0.4,3.5,39.8,8.7,2126,12,0,1,1994,"DHS",1994,8,5,3,661.2,206.2,416.7,38.3,0,0,26.4,0,26.4,26.4,26.4,0,0,0,26.4,1279.9,26.4,26.4,1279.9,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2126,0
"Bolivia","BO1994DHS",15.1,"Contraceptive method","Withdrawal",3.3,6.5,1.8,8.7,5,16,56.4,25.4,234,13,0,1,1994,"DHS",1994,8,5,3,72.5,22.9,35.3,14.3,0,0,8.5,0,8.5,8.5,8.5,0,0,0,8.5,8.5,102,8.5,102,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,234,0
"Bolivia","BO1994DHS",5.7,"Contraceptive method","Other traditional methods",0.9,1.3,0.3,3.6,0.8,16.7,29.2,11.1,476,14,0,1,1994,"DHS",1994,8,5,3,86.2,10.5,27.1,48.6,0,0,7.5,0,7.5,7.5,7.5,0,0,0,7.5,7.5,7.5,337,337,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,476,0
"Brazil","BR1996DHS",0,"Contraceptive method","Female sterilization",0,0,0,0,0,0,0,0,1107,2,1,0,1996,"DHS",1996,8,5,3,0,0,0,0,0,1107,0,0,0,0,0,0,0,0,0,0,0,0,1107,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,1107,0
"Brazil","BR1996DHS",4.8,"Contraceptive method","Pill",5,3.6,11.8,1.9,1.8,15.9,44.8,15.8,3902,6,1,0,1996,"DHS",1996,8,5,3,1131.6,335.6,187.3,608.7,0,88.1,0,0,88.1,2153.9,88.1,0,0,0,88.1,88.1,88.1,88.1,2153.9,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,3902,0
